sentence_a,sentence_b,answer
switch y is not in the same path of bulb a.,Bulb A is still in a closed path with the battery,1
if it disrupts the path of the bulb and the battery,When the switch and the bulb are contained in the same path,1
becuase it is in a closed circuit with itself and the bulb is not i the closed circuit,the battery is contained in a path in which there is no bulb,2
Terminal 1 is not connected to the positive terminal.,Terminal 1 and the positive terminal are not connected,5
Auditors must set requirements for themselves based on the standards used to audit others.,financial record reviews cadres need to cement to those doctrines financial records inspection cadres assign in auditing others .,0
a terminal is connected to the negative battery terminal,the terminals are not connected,1
The path has to be closed in order for the bulb to be on.,If a bulb and a switch are in the same path the switch affects the bulb,1
a bulb causes a difference in electrical state,A non-zero voltage means that the terminals are not connected.,0
The battery must be connected to the bulb,there is a complete circuit,1
Gazans fire 2 rockets into Israel; no injuries,Gazans fire 89 rockets; cabinet approves reserve call-up,0
where the switch is in path determines whether it affects the bulb,If a bulb and a switch are in the same path the switch affects the bulb,3
When a switch is open the circuit is no longer complete,there is an incomplete circuit,2
there is a difference in electrical states,the terminals are separated by a gap,0
because it is still in a closed circuit,Bulb A was still contained in the same closed path with the battery.,0
it is the most admirable endowment an aged person may entrust to the world .,this is the most beautiful gift the elderly man passed to this world .,0
the positive battery terminal and terminal 1 are not connected,Terminal 1 and the positive terminal are not connected,5
removing bulb a will affect bulb c,A and C are in the same closed path,1
there would be a gap in the circuit,there is a gap in a circuit,2
bulb is contained in closed path,If a bulb and a switch are in the same path the switch affects the bulb,1
The first consideration is of this region in particular and its historical relationship between it and the Saudi Arabia border region with which it has contact.,The first consideration of the region in particular and the historical relationship between it and the Saudi border region.,2
The battery uses the chemical reation to create voltage,A battery uses a chemical reaction to maintain different electrical states at the terminals,2
The switch is contained in the path,The switch and the bulb have to be in the same path,2
the circuit is no longer complete when the switches are open,there is an incomplete circuit,2
Because the positive circuit has a voltage of 1.5 volts.,Terminal 1 and the positive terminal are separated by the gap,0
put heels on a shoe,put a new heel on.,0
the bulb is only connected at the negative connection.,the battery is in an open path,0
the voltage between terminal 1 and the positive terminal is 1.5 V,Terminal 1 and the positive terminal are separated by the gap,1
terminal 6 is connected to the difference,Terminal 6 and the positive terminal are connected,1
a terminal has an electrical state where theres a chemical reaction,A battery uses a chemical reaction to maintain different electrical states at the terminals,1
It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.,"And it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre.",3
makes  a short circuit,the path is not closed,0
the positive battery terminal is separated by a gap from terminal 4,Terminal 4 and the positive battery terminal are in the same electrical state,1
the terminal is not connected to the battery terminal,the terminals are not connected,3
"the act of combining, blending, integrating",the act of chipping something.,0
"""Energy flows through the path so if there""""s a gap, there""""s no energy""",If a bulb and a switch are in the same path the switch affects the bulb,0
there is not a terminal connected to the positive path of the battery,the battery is in an open path,0
"If the path contains is closed with a battery, the bulb will light up.",If a bulb and a switch are in the same path the switch affects the bulb,0
damaged bulb creates a gap.,a damaged bulb creates a gap,5
it is not in the same path.,Bulb A is still in a closed path with the battery,0
because the positive terminal is separated by a gap from terminal 3,Terminal 3 and the positive terminal are separated by the gap,3
A switch contained in a closed path with a bulb and a battery will affect the bulb.,If a bulb and a switch are in the same path the switch affects the bulb,3
She asked to be excused from last week's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda.,She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda.,3
there is no gap between the positive battery terminal and terminal 5,There is no gap between terminal 5 and the positive terminal,5
It cuts the current from the battery,the path is not closed,0
the summary of a communication,the intended meaning of a communication.,1
gap between terminal 3 and positive battery terminal,Terminal 3 and the positive terminal are separated by the gap,3
both bulbs a and c are contained in a closed path,A and C are in the same closed path,2
"If Z is closed, A is still part of a complete circut.",Bulb A is still in a closed path with the battery,2
it allows you to measure electrical states between terminals,Measuring voltage indicates the place where the electrical state changes due to a gap.,1
it is not in a closed path,The battery in 2 is not in a closed path,3
the voltage is nearest the burnt out bulb,Measuring voltage indicates the place where the electrical state changes due to a damaged bulb.,1
bulb a and bulb c were still contained in a closed path with the battery.,Bulbs A and C are still contained in closed paths with the battery,5
"the termination, ending of a meeting",the termination of a meeting.,2
there is still a closed path,"If bulb A burns out, bulbs B and C are still in a closed path",1
because the gap creates a difference in electrical states,A battery uses a chemical reaction to maintain different electrical states at the terminals,1
the battery is contained in a closed path without any devices,The battery is contained in a closed path which does not contain any other components,4
"""If the terminals at both ends of the bulb are the same, then it""""s damaged.""",A non-zero voltage means that the terminals are not connected.,0
the positive terminal is connected to terminal 6,Terminal 6 and the positive terminal are connected,5
there is no path through the connection of bulb b.,there is an incomplete circuit,1
circuit 5 is in a closed path.,the battery is contained in a closed path in which there is no bulb,1
B and C were still contained in a closed circuit with the battery,Bulb B and Bulb C were still contained in the same closed path with the battery.,4
It will help find where the gap in the circuit is.,Measuring voltage indicates whether two terminals are separated by a gap.,2
if bulb a burns out if affects bulbs b and c.,A and C are in the same closed path,1
the bulb is not contained within the path,The battery is contained in a path which does not contain any other components,0
bulb B does not effect the other bulbs,there is an incomplete circuit,0
the switch is in the same path as the bulb,When the switch and the bulb are contained in the same path,1
take in (mentally or physically),"take (gas, light or heat) into a solution.",0
the are on the same wire,A and C are in the same closed path,1
there is a closed path,bulbs A and B are in a closed path,1
when the switch is opened,When the switch and the bulb are contained in the same path,1
"""the battery terminals don""""t connect without any devices""",the battery is in an open path,1
there is no relationship between path bulb a and c,A and C are in different paths,1
terminal is connected to postive end of battery,"Terminals 4, 5 and 6 are connected to the positive battery terminal",2
"issues about others , discuss them cautiously ;",we had better be cautious saying anything about other people ;,0
there is no gap in the path,Terminal 1 and the positive terminal are separated by the gap,1
Because the meter was hooked up to two sides of the battery.,Terminal 1 and the positive terminal are separated by the gap,0
removing or damaging one bulb will not affect the other.,A and C are in different paths with the battery,0
"if there is a gap between the terminals, the voltage will be different.",Measuring voltage indicates whether two terminals are separated by a gap.,3
because the battery is in a closed path.,the battery is contained in a closed path in which there is no bulb,3
A battery will always have a voltage because the electrical states of the positive and negative terminals are always different.,A battery uses a chemical reaction to maintain different electrical states at the terminals,1
bulb b and bulb c are contain in the same closed path.,B and C are in the same path with the battery,2
"because it opens the circuit, therefore the circuit is not closed",the path is not closed,2
Because the chemical reaction is not effected by a gap.,A battery uses a chemical reaction to maintain different electrical states at the terminals,1
that it is connected to the negative terminal,there is no gap between the terminals,0
There is not a connection between a bulb terminal and a battery terminal.,there is no gap between the terminals,0
terminal 1 is connected to the 1.5 volt battery.,terminal 1 is connected to the negative battery terminal,1
And what were the difficulties that you faced until reaching the membership of the Advisory Council?,And the leader of the difficulties that were exposed even reached the membership of the Shura Council.,0
Because neither components are in closed paths.,Circuit 4 has no closed paths,1
The battery is connected to only one side of the bulb and is only running electricity back to the battery.,the battery is in an open path,1
switch X does not effect bulbs B and C,There is a path with B and C that does not include X,3
"If there is an open switch in the path, the bulb will not be on.",If a bulb and a switch are in the same path the switch affects the bulb,2
it was enclosed in a complete circuit,Bulb A was still contained in the same closed path with the battery.,1
makes it an open path rather then closed,there is an open path,1
the battery is on a closed path,the battery is contained in a closed path in which there is no bulb,3
because A and C still have a connection to the battery,Bulbs A and C are still in closed paths with the battery,2
This will be the first Chinese enterprise to list directly on the Tokyo Stock Exchange's main board.,this will be the first venture in china promptly put on the tse 's the first section .,0
there is no path through bulb b.,there is an incomplete circuit,1
Switch Y is in a different path than Bulb A,Switch Y and bulb A are not in the same closed path,1
Bulb A will no longer be completing the circuts.,"If bulb A burns out, neither B nor C is in a closed path",1
close the path and match the terminals,there is a closed path containing both the bulb and a battery,1
Despite the fact that many people are ignorant of the effort made by the man. But I think that he is the only one who follows the right way. Though this was not free from some mistakes and lapses.,Despite the fact that many people are ignorant of the effort made by the man. But I think that he is the only one who follows the right way. And that this was not free from some of the mistakes and lapses.,2
because of the chemical reaction in the battery,A battery uses a chemical reaction to maintain different electrical states at the terminals,1
becaquse there was a gap in the connection,Terminal 1 and the positive terminal are separated by the gap,1
there was a negavtive gap,terminal 4 is separated by a gap from the negative battery terminal,2
If it is in the same path as the bulb.,When the switch and the bulb are contained in the same path,2
still have connection to battery,"If C burns out, then A and B are still in a closed path with the battery.",0
terminal 6 is connected to the positive terminal of the battery,Terminals 1 and 6 are not connected,1
Because bulb a was contained in a closed path with the battery.,Bulb A was still contained in the same closed path with the battery.,2
it was a closed path,Bulb A was still contained in the same closed path with the battery.,2
Bulb A and B are still contained within  closed paths,bulbs A and B are in a closed path,5
"the 25 page long report asserted that out of the 18 goals , the government of al-maliki achieved only 8 , two of which were deemed "" weak . ""","it was stated in the write up , released in twenty-five pages , that al-maliki 's regime accomplished only eight of eighteen objectives , 2 of which were scored "" weak "" .",2
"""because switch z is in bulb c""""s closed path""",there is a path containing both Z and C,3
if the bulb is contained in a closed path with a switch,When the switch and the bulb are contained in the same path,4
positive battery terminal is separated by a gap from terminal 6,There is no gap between terminal 6 and the positive terminal,1
there is a difference between terminal 2,Terminal 2 and the positive terminal are separated by the gap,0
"terminal 4, terminal 5, and terminal 6 are connected to the positive battery terminal","Terminals 4, 5 and 6 are connected to the positive battery terminal",5
bulb c creates a gap,"If C burns out, then A and B are still in a closed path with the battery.",0
"""There are closed paths that don""""t include bulb A""",each bulb is in its own path,1
There is no difference in electrical states.,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",1
a battery always has voltage unless it is damaged,A battery uses a chemical reaction to maintain different electrical states at the terminals,1
Because terminal 1 is not connected to terminal 6.,Terminals 1 and 6 are not connected,4
terminal 6 is connected to postive terminal of battery,Terminals 1 and 6 are not connected,1
I laughed right when I heard his words. What can you do with ten thousand yuan?,"i laughed when i heard his words . "" what could you do with only 10,000 yuan ( chinese dollars ) ? "" i asked .",2
circuit 4 is contained in an open path,the battery is in an open path,2
because there is a closed circuit after bulb b,"Terminals 4, 5 and 6 are connected to the positive battery terminal",0
That the circuit is bad.,there is a short circuit,3
Bulb C and the battery are not contained in a closed pathway,Bulb C was no longer in a closed path with the battery,3
bulb B and C both still are on a closed path with the battery,bulbs B and C are still in closed paths with the battery,5
The positive battery terminal is separated by a gap from terminal 1,terminal 2 is not separated from the negative battery terminal,1
bulb a and b are still contained in closed paths with the battery,"If C burns out, then A and B are still in a closed path with the battery.",2
Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves.,The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves.,1
because bulbs are connected to the negative terminal of the battery,"Terminals 1, 2 and 3 are connected to the negative battery terminal",1
the bulb causes a gap,Measuring voltage indicates the place where the electrical state changes due to a gap.,0
A target is being hit with gun fire.,The target was being shot with bullets.,2
The terminals are not connected,Terminals 1 and 6 are not connected,3
there is a gap between the battery terminal and the bulb terminal.,there is no gap between the terminals,1
"When a switch, a battery, and a bulb are in a closed circuit.",When the switch and the bulb are contained in the same path,1
"""the terminal""""s electrical state is not effected by the incomplete circuit.""",A battery uses a chemical reaction to maintain different electrical states at the terminals,1
the path was closed and connected to the battery,Bulb A is still contained in a closed path with the battery.,1
positive battery seperated by gap from terminal 1,Terminal 3 and the positive terminal are not connected,0
because the path has to be open,If a bulb and a switch are in the same path the switch affects the bulb,0
the blub is not contained in the same closed path as the battery,The bulb is not in the closed path containing the battery,5
an agent actively (yet not always with success) attempts to keep an event from taking place. this event is (usually) an urge which encourages the action that the agent wishes to prevent.,abstain from doing; always used with a negative;,0
circuit 2 is a short circuit,there is no closed path containing the battery,0
the path must contain a battery,The switch and the bulb have to be in the same path,0
It is not in the same path as bulb A.,Bulb A is still in a closed path with the battery,1
because there was a gap in the terminals,there is no path containing both switch Y and bulb A,1
The positive battery terminal is seperated by a gap from termnial one.,Terminal 2 and the positive terminal are separated by the gap,1
bulb c does not create a gap in the path for bulb b and a,"If C is damaged, A and B are still in a closed path",2
A and B are still contained in a closed path with the battery.,If C burns out then A and B are still in a closed path with the battery,1
"the negative battery terminal and terminals 1, 2, and 3 are located closest to each other","Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",1
a current_instance of a certain type is under discussion. this instance is evaluated as being the same instance or a different instance from a previous_instance encountered in a previous_context.,unlike in nature or quality or form or degree;,0
the battery always has voltage,A battery uses a chemical reaction to maintain different electrical states at the terminals,1
terminal 1 and terminal 4 are connected,Terminals 1 and 4 are connected,5
because it was connected to the positive terminal,Terminal 1 and the positive terminal are separated by the gap,0
the terminal are seperated by a gap when the bulb goes out,there is no gap between the terminals,1
If the other bulb is no longer contained in a closed path with the battery,The damaged bulb and the other bulb must be contained in the same path,1
both are on the same side of the circuit,"Terminals 1, 2 and 3 are connected to the negative battery terminal",0
There is a gap after bulb b,Terminal 1 and the positive terminal are separated by the gap,1
Hurricane Sandy makes landfall in southeastern Jamaica: NHC,Hurricane Sandy reaches Jamaica,3
Terminal 4 is connected to bulb B,Terminal 4 and the positive battery terminal are in the same electrical state,1
since a a gap does not affect the voltage of a battery,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",1
because 1.5 v minus 0 v equals 1.5 v,Terminal 1 and the positive terminal are separated by the gap,0
the positive terminal is connected to the bulb,Terminal 1 and the positive terminal are separated by the gap,1
The battery is contained in a closed path.,the battery is contained in a closed path in which there is no bulb,3
the voltage of a battery does not depend on the components in a curcuit.,A battery uses a chemical reaction to maintain different electrical states at the terminals,1
there is no gap between the positive battery terminal and terminal 6,Terminal 6 and the positive terminal are not separated by the gap,3
the battery has its own chemical reaction,A battery uses a chemical reaction to maintain different electrical states at the terminals,3
A battery and a closed circuit.,the bulb and the battery are in a closed path,1
Juror: Sandusky appeared to accept his fate,Jerry Sandusky convicted of child sexual abuse,0
the switch has to be contained in the same path as the bulb and the battery,The switch and the bulb have to be in the same path,3
the bulbs are conained in different paths with the battery,A and C are in different paths with the battery,3
because bulb C was not still contained in a closed path with the battery,Bulb C was no longer in a closed path with the battery,4
"""Both ends of the battery aren""""t connected to each other.""",there is no closed path containing the battery,1
because there was a closed circuit,Terminal 1 and the positive terminal are separated by the gap,0
there is a closed path that contains bulb and a battery,Bulb A is still in a closed path with the battery,3
There is a gap in the path,"If bulb A burns out, neither B nor C is in a closed path",0
China yuan weakens to 6.3282 against USD Monday,China yuan retreats to 6.2697 against USD Thursday,1
Because terminal 1 had no gap.,Terminal 1 and the positive terminal are separated by the gap,1
because it blocks the charge of the circuit.,there is an incomplete circuit,1
It stops the flow of electricity.,there is an open path,0
bulb a and c are on a different path with the battery,A and C are not in the same path with the battery,1
The positive terminal and terminal 1 read 1.5 V because the difference across the terminals is 1.5 V,Terminal 1 and the positive terminal are separated by the gap,1
South Korea Orders Immediate Shutdown of 2 Nuclear Reactors,South Korea to boost nuclear power?,0
The positive battery is separated by a gap with terminal 1.,Terminal 1 and the positive terminal are separated by the gap,4
if the bulb is contained within the path,The switch and the bulb have to be in the same path,2
a and c both create circuts with the battery,Bulbs A and C are still in closed paths with the battery,2
it is a open circuit,Terminal 4 and the positive battery terminal are in the same electrical state,1
it was in a closed path,Bulb A is still contained in a closed path with the battery.,3
because terminal 1 and the neavtive terminal are seperated.,Terminal 1 and the positive terminal are separated by the gap,2
the positve battery terminal is separated by a gap at terminal 1,Terminal 1 and the positive terminal are separated by the gap,3
The voltage has the same electrical state between any two terminals.,"Terminals 1, 2 and 3 are separated from the positive battery terminal by a gap",0
Terminal 1 is connected to the negative terminal.,terminal 1 is connected to the negative battery terminal,5
switch z is contained on a closed path,"there is a path containing A, C, Z and X",0
"The battery is in a closed path, not connected to the light bulb.",the battery is contained in a path in which there is no bulb,4
Because there is no gap at terminal 1,terminal 1 is connected to the negative battery terminal,0
It makes the circuit incomplete.,there is an incomplete circuit,1
you can locate the gap in a connection,Measuring voltage indicates whether two terminals are separated by a gap.,1
the battery in circuit 5 is contained in a closed path.,the battery is contained in a path in which there is no bulb,1
because there is a gap between terminal 1 and terminal 6.,There is a gap between terminals 1 and 6,4
Beef burger mix recalled over salmonella concerns,Choc powder recalled over salmonella concerns,0
Terminal 4 is connected to the positive battery terminal.,Terminal 5 and the positive terminal are connected,1
Terminal 1 was connected to a negative terminal 4.,Terminals 1 and 4 are connected,3
because it is connected to a bulb that is a closed path,the battery is in an open path,1
the switch is in a path with the bulb,When the switch and the bulb are contained in the same path,3
because x and z could be closed and it will work.,"there is still a closed path containing Switch Z, Switch X, Bulbs A and C and the battery",3
bulbs A and C are not on the same closed path.,A and C are not in the same path,4
if bulb b is damaged it does not make a complete circut,there is an incomplete circuit,2
Romney announces Paul Ryan as running mate,Romney names Ryan as running mate,0
hold or place in equilibrium,hold or carry in equilibrium.,2
Bulb A and B are still contained within a closed path and connected to a battery,"If C burns out, then A and B are still in a closed path with the battery.",4
the value of measurement indicates if the bulb is burned out,Measuring voltage indicates the place where the electrical state changes due to a damaged bulb.,1
bulb b and c are on a  closed path with the battery,no path containing both the switch X and either bulb B or bulb C,1
Bulb A is contained in a closed path and not affected by  switch Y.,Switch Y and bulb A are not in the same closed path,2
terminal 1 and terminal 6 are seperated by a gap,Terminals 1 and 6 are separated by the gap,5
Bulb A and B will still be in a contained path.,"If C burns out, then A and B are still in a closed path.",3
"if the switch and bulb are contained in the same path, the switch will affect the bulb.",When the switch and the bulb are contained in the same path,3
because voltage is the difference in electrical states between two terminals.,A battery uses a chemical reaction to maintain different electrical states at the terminals,2
the electrical state can locate the gap,Measuring voltage indicates the place where the electrical state changes due to a gap.,1
"a lever that activates a firing mechanism, especially with a firearm",lever that activates the firing mechanism of a gun.,1
There was a closed path between the battery and bulb a.,Bulb A was still contained in the same closed path with the battery.,4
path 5 is a short circuit.,The battery is contained in a path which does not contain any other components,0
The electrical states of two terminals when connected will determine the gaps and help to locate a burned out bulb.,Measuring voltage indicates the place where the electrical state changes due to a damaged bulb.,1
the batter is in a closed path without any other components.,The battery is contained in a closed path which does not contain any other components,4
yes bulb A was on,Bulb A was still contained in the same closed path with the battery.,1
switch z is contained in a closed path,"there is still a closed path containing Switch Z, Switch X, Bulbs A and C and the battery",1
because bulbs A and C are contained in different paths with the battery,A and C are in different paths with the battery,4
bulb a and bulb c are contained in different paths with the bttery.,A and C are in different paths with the battery,3
Because the batter termnal was not separted by a gap from terminal .,Terminal 4 and the positive terminal are not separated by the gap,1
switch z contains a closed path with the battery,"there is still a closed path containing Switch Z, Switch X, Bulbs A and C and the battery",2
if the path is open the bulb will be off,If a bulb and a switch are in the same path the switch affects the bulb,1
because bulb a is in a closed circuit with the battery and switch x,Bulb A is still contained in a closed path with the battery and switch X.,4
the negative battery terminal is seperated by a gap from terminal 6 making the voltage 0,terminal 6 is separated by a gap from the negative battery terminal,3
the bulbs are on the same path with the battery,A and C are in the same path,3
"the negative battery terminal is connected to bulb terminal 1,2 and 3 only.","Terminals 4, 5 and 6 are not connected to the negative battery terminal",0
the act of pulling an object,the act of choosing or selecting.,0
beacuse it was in a closed path with the battery,Bulb A was still contained in the same closed path with the battery.,2
Bulb terminals 3 and 4,Terminal 1 and the positive terminal are separated by the gap,0
It will locate the gap.,A non-zero voltage means that the terminals are not connected.,0
the terminals are not connected to each other,Terminal 1 and the positive terminal are not connected,2
"""there isn""""t a closed path of the battery""",there is no closed path containing the battery,4
switch y is not in the same path as bulb a.,Bulb A is still in a closed path with the battery,1
a gap causes a chemical reaction,A non-zero voltage means that the terminals are not connected.,1
Bulb A is contain in a closed path,Bulb A was still contained in the same closed path with the battery.,3
a component to the battery,there is a complete circuit,0
terminal 4 is connected to the positive batterty terminal,Terminal 4 and the positive terminal are connected,5
That there is a gap,there is no gap between the terminals,1
bulb a is contained in a closed path with the battery,Bulb A is still contained in a closed path with the battery.,4
"the act of providing assistance, giving aid",the act of administering medication.,0
switch z is contained in a closed path with bulb a and the battery,"there is a path containing A, C, Z and the battery",1
Bulb A and C are contained in different paths with the battery.,A and C are in different paths with the battery,5
"because bulb a is in a closed path, and bulb c is in a closed path.",Bulbs A and C are still in closed paths,4
switch y is not on the same path to battery,Bulb A is still in a closed path with the battery,1
because bulb A and B are within the same path,each bulb is in its own path,1
Because it was in the same circuit,Switch Y and bulb A are not in the same closed path,1
a closed component to the battery,the bulb and the battery are in a closed path,1
because it changes the path from closed to open,there is an open path,1
a type of military aircraft,a unit of military aircraft.,1
allows you to identify any gaps,Measuring voltage indicates whether two terminals are separated by a gap.,3
if switches X and Z are closed it will complete the closed circuit for bulb A,"there is still a closed path containing Switch Z, Switch X, Bulbs A and C and the battery",2
because bulb a can go through the other path,Bulb A is still in a closed path with the battery,0
A and B are off,there is an incomplete circuit,0
bulbs a and b are still contained in closed paths with the battery.,If C burns out then A and B are still in a closed path with the battery,3
terminal 2 was connected to the negative terminal,terminal 1 is connected to the negative battery terminal,1
it revealed that somewhere around 50 to eighty suicide bombers are deployed monthly to the branch of al-qaida in the republic of iraq by a network which syria keeps up .,"a network supported by syria is sending from 50 to 80 suicide bombers per month to "" al-qa 'ida "" in iraq , he revealed .",1
Bulbs A and C are in separate paths.,A and C are in different paths,2
bulb A and B will stil be in a closed path with the battery,"If C burns out, then A and B are still in a closed path with the battery.",3
if it is in the closed path with the battery,When the switch and the bulb are contained in the same path,0
contained in the same circuit not connected to the opposite terminal,Terminals 1 and 2 are connected,1
Registering a voltage at a location tells you there is a gap somewhere in between the measured terminals,Measuring voltage indicates the place where the electrical state changes due to a gap.,2
There was a closed circuit,Bulb A is still contained in a closed path with the battery.,0
The sources said that the assassination plan that included participation by parties from outside Iraq colluding with some of the security services is based on targeting Al-Hashemi when he was heading to the airport.,The sources said that the assassination plan that participate in by parties from outside Iraq and complicit in some of the security services based on targeting Al-Hashemi when he was heading to the airport.,3
bulbs b and c were contained in a closed path with the battery.,Bulb B and Bulb C were still contained in the same closed path with the battery.,4
when it creates a gap in a certain path,When the switch and the bulb are contained in the same path,1
An open switch stops the energy flow,the path is not closed,0
Bulb a was in a closed path with a battery.,Bulb A is still contained in a closed path with the battery.,4
there is a closed path to the battery,Bulbs A and C are still contained in closed paths with the battery,3
bulbs a and c affect each other.,A and C are in the same path,1
it checks the electrical state between two terminals.,Measuring voltage indicates the place where the electrical state changes due to a gap.,1
because there is a gap in the connection between terminal 1 and terminal 6,There is a gap between terminals 1 and 6,4
"closed path, connected to a battery",there is a closed path containing both the bulb and a battery,1
because B and C were still on a closed path with the battery,Bulb B and Bulb C were still contained in the same closed path with the battery.,2
it creates a gap in the closed path,a damaged bulb creates a gap,2
becasue it can be in another closed pathway,There is a path containing A,1
"where the basis would be the position description , which would assist in rearranging this body of government , regardless of the plan being presently in its analysis and fact finding stages .","it is based on the work category , facilitating the government rearrangement , although the scheme is after all in the phase of researches and studies .",0
"It creates a gap, so no electricity from the battery can flow to the other bulbs.",there is an open path,0
